station_id,County,Community,Functional Class,Rural Urban,On,From,To,Approach,At,Dir,directions,Category,LRS ID,LRS Loc Pt,latitude,longitude,Latest,Latest Date
2811,Lincoln,-,Other Principal Arterial,R,US 14,,,WEST OF,CSAH21 IN LAKE BENTON,2-WAY,EB/WB,Two-Way Roadway,0200000000000014-I,6.5849187,44.2701389,-96.3200935,1900,10/31/2025
2866,Lyon,-,Minor Arterial,R,MN 68,,,,MINNEOTA WCL,2-WAY,EB/WB,Two-Way Roadway,0300000000000068-I,24.3312598,44.5772849,-96.0275756,2078,10/30/2025
29731,Wadena,-,Major Collector,R,CSAH 12,,,EAST OF,"CSAH18, E OF NIMROD",2-WAY,EB/WB,Two-Way Roadway,0400006595240012-I,12.736711,46.6446168,-94.8401374,388,11/23/2025
3028,Kittson,-,Minor Arterial,R,US 59,,,,CSAH28,2-WAY,NB/SB,Two-Way Roadway,0200000000000059-I,391.9736975,48.5587255,-96.5024718,987,10/31/2025
3033,Marshall,-,Minor Arterial,R,US 59,,,,CSAH2,2-WAY,NB/SB,Two-Way Roadway,0200000000000059-I,362.2030106,48.176394,-96.20716,2093,10/31/2025
30654,Itasca,-,Major Collector,R,CSAH 7,,,SOUTH OF,CSAH 52,2-WAY,NB/SB,Two-Way Roadway,0400006594760007-I,18.9668304,47.56208741,-93.37268277,675,11/23/2025
3066,Marshall,-,Minor Arterial,R,MN 1,,,EAST OF,MN 220 (BOUNDARY ST),2-WAY,EB/WB,Two-Way Roadway,0300000000000001-I,11.5667131,48.1950743,-96.8912595,1703,10/31/2025
3371,Morrison,-,Minor Arterial,R,MN 25,,,NORTH OF,"273RD ST, NW OF HARDING",2-WAY,NB/SB,Two-Way Roadway,0300000000000025-I,139.3271484,46.1442513,-94.1038355,1482,10/30/2025
3387,Cass,-,Other Principal Arterial,R,MN 210,,,,US 10,2-WAY,EB/WB,Two-Way Roadway,0300000000000210-I,101.1195519,46.3430089,-94.642804,10333,10/31/2025
33897,Rice,-,Minor Arterial,R,CSAH 2,,,WEST OF,"TH19 (INDEPENDENCE AVE), W OF LONSDALE",2-WAY,EB/WB,Two-Way Roadway,0400006595110002-I,2.2889924,44.48605592,-93.5095085,2273,11/23/2025
3436,Mower,-,Minor Arterial,R,US 218,,,NORTH OF,CSAH6 NEAR LYLE,2-WAY,NB/SB,Two-Way Roadway,0200000000000218-I,4.0338832,43.5580513,-92.9495975,3456,10/31/2025
3467,Mower,-,Interstate,R,I 90,,,SOUTH OF,"CSAH2 (260TH ST), NW OF DEXTER",2-WAY,EB/WB,Two-Way Roadway,0100000000000090-I,194.5469856,43.726962,-92.680817,12470,10/30/2025
3581,Nicollet,-,Other Principal Arterial,R,US 169,,,NORTH OF,ST PETER NCL,2-WAY,NB/SB,Two-Way Roadway,0200000000000169-I,68.7021535,44.3654936,-93.9632363,20799,10/31/2025
3665,Nobles,-,Interstate,R,I 90,,,WEST OF,MN 91 (MAIN AVE),2-WAY,EB/WB,Two-Way Roadway,0100000000000090-I,26.3961511,43.6435323,-95.93755048,11023,10/30/2025
3718,Nobles,Worthington,Interstate,U,I 90,,,WEST OF,US 59 (HUMISTAN AVE),2-WAY,EB/WB,Two-Way Roadway,0100000000000090-I,42.6844168,43.63771945,-95.61470098,10735,11/24/2025
376,Big Stone,-,Other Principal Arterial,R,US 75,,,SOUTH OF,MN 7 (MAIN ST),2-WAY,EB/WB,Two-Way Roadway,0200000000000075-I,133.0715142,45.2690896,-96.3894004,1476,1/1/2024
3790,Olmsted,Rochester,Other Principal Arterial,U,US 63,,,NORTH OF,85TH ST SE IN ROCHESTER,2-WAY,NB/SB,Two-Way Roadway,0200000000000063-I,31.9403278,43.902368,-92.482503,27704,10/30/2025
3819,Olmsted,Rochester,Freeway & Expressway,U,US 52,,,SOUTH OF,65th ST NW IN ROCHESTER,2-WAY,NB/SB,Two-Way Roadway,0200000000000052-I,60.4444983,44.085907,-92.510451,54271,4/11/2025
3831,Olmsted,Byron,Other Principal Arterial,U,US 14,,,EAST OF,CSAH5 (2ND AVE NW) IN BYRON,2-WAY,EB/WB,Two-Way Roadway,0200000000000014-I,203.8446786,44.02852836,-92.63772528,23335,11/11/2025
4126,Pennington,-,Major Collector,R,MN 1,,,EAST OF,MN 219,2-WAY,EB/WB,Two-Way Roadway,0300000000000001-I,71.9391796,48.122143,-95.625129,528,10/30/2025
4172,Pine,-,Interstate,R,I 35,,,NORTH OF,MN 23,2-WAY,NB/SB,Two-Way Roadway,0100000000000035-I,181.2019002,45.9851601,-92.9484166,20088,10/30/2025
42,Aitkin,-,Other Principal Arterial,R,US 169,,,NORTH OF,CSAH 3 (480TH ST),2-WAY,NB/SB,Two-Way Roadway,0200000000000169-I,269.1975826,46.7829119,-93.6136684,2196,10/31/2025
4248,Pipestone,-,Minor Arterial,R,US 75,,,SOUTH OF,CSAH4,2-WAY,NB/SB,Two-Way Roadway,0200000000000075-I,33.5244841,43.96295507,-96.27933875,2102,10/31/2025
42507,Scott,Shakopee,Freeway & Expressway,U,US 169,,,,MSAS 126,2-WAY,NB/SB,Two-Way Roadway,0200000000000169-I,114.7333607,44.7900449,-93.4054159,47561,11/11/2025
4332,Polk,-,Other Principal Arterial,R,US 2,,,NW OF,"CSAH63 (100TH AVE SW), SE OF E GR FORKS",2-WAY,EB/WB,Two-Way Roadway,0200000000000002-I,7.9902201,47.88035992,-96.91741233,5589,11/24/2025
4402,Polk,-,Minor Arterial,R,MN 9,,,NORTH OF,CSAH1 &112 (6TH ST) IN BELTRAMI,2-WAY,NB/SB,Two-Way Roadway,0300000000000009-I,212.6229343,47.5714598,-96.5324558,488,10/25/2025
4579,Redwood,-,Minor Arterial,R,MN 68,,,WEST OF,CSAH5,2-WAY,EB/WB,Two-Way Roadway,0300000000000068-I,58.9817965,44.3993903,-95.472716,1070,10/26/2025
4644,Renville,-,Other Principal Arterial,R,US 212,,,WEST OF,E JCT CSAH3,2-WAY,EB/WB,Two-Way Roadway,0200000000000212-I,85.9362089,44.7556074,-94.8127403,3842,10/31/2025
4669,Renville,-,Other Principal Arterial,R,US 212,,,EAST OF,"CSAH14 (1ST ST N), E OF OLIVIA",2-WAY,EB/WB,Two-Way Roadway,0200000000000212-I,78.3942456,44.7748375,-94.9611795,4710,11/24/2025
468,Blue Earth,-,Other Principal Arterial,R,MN 60,,,,CSAH 20 (510 AVE),2-WAY,EB/WB,Two-Way Roadway,0300000000000060-I,85.5067582,44.075171,-94.367949,11092,10/30/2025
4720,Rice,Faribault,Interstate,U,I 35,,,NORTH OF,MN 60,2-WAY,NB/SB,Two-Way Roadway,0100000000000035-I,57.0006876,44.29347982,-93.30888191,27324,1/1/2024
4741,Rice,-,Interstate,R,I 35,,,SOUTH OF,MN 19,2-WAY,NB/SB,Two-Way Roadway,0100000000000035-I,69.3743086,44.46800847,-93.29206377,34421,1/1/2024
4820,Rock,-,Interstate,R,I 90,,,WEST OF,"CSAH 4, W OF BEAVER CREEK",2-WAY,EB/WB,Two-Way Roadway,0100000000000090-I,3.7846593,43.6084426,-96.3779891,14263,10/31/2025
4852,Roseau,-,Other Principal Arterial,R,MN 11,,,WEST OF,T 460 (550TH AVE),2-WAY,NB/SB,Two-Way Roadway,0300000000000011-I,87.1139443,48.894374,-95.424858,3155,1/1/2024
4899,Saint Louis,-,Other Principal Arterial,R,US 2,,,WEST OF,Independence Rd,2-WAY,EB/WB,Two-Way Roadway,0200000000000002-I,225.1251592,46.873094,-92.860764,4326,10/31/2025
