iteration;avg_executed;avg_worst;avg_average;avg_best
0;51.42847066577378;51.42847066577378;51.42847066577378;51.42847066577378
1;64.82791373416794;51.38750193835618;66.78152845645465;82.17555497455297
2;70.77255383266608;38.28656832571928;66.50187610052652;92.21264911742017
3;71.78767201586784;23.60022798914136;62.867861565759966;95.82233693956292
4;71.71000886208762;9.283414373891217;59.099732602182875;97.77135642439431
5;71.47043454434787;-3.6939016466836305;55.46810178638422;98.5313149207408
6;70.54152659055949;-13.017177241619294;52.819595701210076;99.09234203447329
7;70.05041686105389;-21.560187938288855;50.5140764921564;99.33525043681202
8;69.567854891581;-27.111159151849407;49.22326161635142;99.38683436281741
9;97.8942619957641;-19.795689156383933;51.194182162895856;98.70440610383186
10;97.94782705940592;-19.858035040036643;51.038321710332625;98.46938574051654
