Link Id	Count Station Id	Hour	MATSIM volumes	Count volumes	Relative Error	Normalized Relative Error	GEH
42243	FHA_55_130604_5	20	901.6	1017	-0.113	0.113	3.726
42243	FHA_55_130604_5	21	614	903	-0.32	0.32	10.493
42243	FHA_55_130604_5	22	532.8	759	-0.298	0.298	8.9
42243	FHA_55_130604_5	23	479.2	526	-0.089	0.089	2.088
42243	FHA_55_130604_5	24	389.2	329	0.183	0.155	3.177
44151	FHA_55_131576_1	1	0	19	-1	1	6.164
44151	FHA_55_131576_1	2	0	13	-1	1	5.099
44151	FHA_55_131576_1	3	0	12	-1	1	4.899
44151	FHA_55_131576_1	4	9.6	7	0.371	0.271	0.902
44151	FHA_55_131576_1	5	48.8	23	1.122	0.529	4.306
44151	FHA_55_131576_1	6	135.6	61	1.223	0.55	7.524
44151	FHA_55_131576_1	7	559.6	141	2.969	0.748	22.366
44151	FHA_55_131576_1	8	819.6	162	4.059	0.802	29.683
44151	FHA_55_131576_1	9	832.4	142	4.862	0.829	31.279
44151	FHA_55_131576_1	10	583.6	143	3.081	0.755	23.116
44151	FHA_55_131576_1	11	399.6	151	1.646	0.622	14.983
44151	FHA_55_131576_1	12	256	157	0.631	0.387	6.889
44151	FHA_55_131576_1	13	172	168	0.024	0.023	0.307
44151	FHA_55_131576_1	14	155.2	176	-0.118	0.118	1.616
44151	FHA_55_131576_1	15	184.8	195	-0.052	0.052	0.74
44151	FHA_55_131576_1	16	204.4	266	-0.232	0.232	4.017
44151	FHA_55_131576_1	17	272	309	-0.12	0.12	2.171
44151	FHA_55_131576_1	18	212.8	232	-0.083	0.083	1.287
44151	FHA_55_131576_1	19	181.2	148	0.224	0.183	2.588
44151	FHA_55_131576_1	20	160.4	99	0.62	0.383	5.391
44151	FHA_55_131576_1	21	110	85	0.294	0.227	2.532
44151	FHA_55_131576_1	22	59.2	60	-0.013	0.013	0.104
44151	FHA_55_131576_1	23	58.4	44	0.327	0.247	2.012
44151	FHA_55_131576_1	24	84	29	1.897	0.655	7.317
44152	FHA_55_131576_5	1	0	10	-1	1	4.472
44152	FHA_55_131576_5	2	0	7	-1	1	3.742
44152	FHA_55_131576_5	3	0	5	-1	1	3.162
44152	FHA_55_131576_5	4	9.6	9	0.067	0.062	0.197
44152	FHA_55_131576_5	5	50	19	1.632	0.62	5.278
44152	FHA_55_131576_5	6	102.8	91	0.13	0.115	1.199
44152	FHA_55_131576_5	7	130	198	-0.343	0.343	5.31
44152	FHA_55_131576_5	8	214.8	221	-0.028	0.028	0.42
44152	FHA_55_131576_5	9	209.6	156	0.344	0.256	3.964
44152	FHA_55_131576_5	10	184.4	128	0.441	0.306	4.513
44152	FHA_55_131576_5	11	125.2	119	0.052	0.05	0.561
44152	FHA_55_131576_5	12	103.6	130	-0.203	0.203	2.443
44152	FHA_55_131576_5	13	139.2	134	0.039	0.037	0.445
44152	FHA_55_131576_5	14	204.8	145	0.412	0.292	4.522
44152	FHA_55_131576_5	15	203.6	168	0.212	0.175	2.612
44152	FHA_55_131576_5	16	290.4	208	0.396	0.284	5.22
44152	FHA_55_131576_5	17	410.4	241	0.703	0.413	9.387
44152	FHA_55_131576_5	18	319.2	190	0.68	0.405	8.097
44152	FHA_55_131576_5	19	308.8	108	1.859	0.65	13.91
44152	FHA_55_131576_5	20	201.2	81	1.484	0.597	10.119
44152	FHA_55_131576_5	21	174.4	70	1.491	0.599	9.444
44152	FHA_55_131576_5	22	117.2	52	1.254	0.556	7.089
44152	FHA_55_131576_5	23	106	36	1.944	0.66	8.307
44152	FHA_55_131576_5	24	99.2	23	3.313	0.768	9.748
74729	FHA_55_130011_7	1	3.6	444	-0.992	0.992	29.439
