LOCAL_ID,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,station_base,travel_dir,Latitude,Longitude,Directions,f_system,source,utm_x,utm_y,matched_link_id,distance_m,match_method,reverse_link_id
FHA_55_130011_3,388.4090881347656,257.1363525390625,209.22727966308594,275.1363525390625,600.0454711914062,1644.6363525390625,3015.54541015625,4373.5908203125,4085.727294921875,3778.727294921875,3972.4091796875,4225.86376953125,4504.72705078125,4602.9091796875,5174.77294921875,6109.4091796875,6293.0,5694.681640625,3902.9091796875,2870.636474609375,2324.636474609375,1836.1363525390625,1297.95458984375,787.227294921875,FHA_55_130011,3,43.043609619140625,-89.34361267089844,3,2U,fha,309107.4242003842,4768323.13252327,81215,21.99874923942288,class,74729
FHA_55_130011_7,444.31817626953125,306.4090881347656,245.0,282.0909118652344,663.727294921875,2213.272705078125,4498.86376953125,6007.0,5077.63623046875,4166.45458984375,3895.95458984375,3971.681884765625,4166.27294921875,4128.77294921875,4393.72705078125,4643.45458984375,5021.63623046875,4526.22705078125,3527.0,2593.227294921875,2169.727294921875,1742.04541015625,1331.54541015625,837.5454711914062,FHA_55_130011,7,43.043609619140625,-89.34361267089844,7,2U,fha,309107.4242003842,4768323.13252327,74729,21.99874923942288,class,81215
FHA_55_130215_1,68.17391204833984,43.130435943603516,48.78260803222656,72.9565200805664,122.82608795166016,369.34783935546875,610.1738891601562,826.8695678710938,869.9130249023438,816.9130249023438,829.3043212890625,882.95654296875,933.4347534179688,909.95654296875,934.7825927734375,1029.7825927734375,1131.95654296875,985.3478393554688,700.5652465820312,508.34783935546875,402.9130554199219,328.9130554199219,258.3043518066406,133.52174377441406,FHA_55_130215,1,43.113014221191406,-89.32054901123047,1,3U,fha,311199.4158898882,4775978.713429008,40760,8.98625839024213,class,31990
FHA_55_130215_5,75.43478393554688,54.30434799194336,41.043479919433594,43.130435943603516,79.0434799194336,194.13043212890625,383.8260803222656,603.0869750976562,572.04345703125,606.5652465820312,659.6521606445312,736.5652465820312,781.7391357421875,798.1738891601562,900.3478393554688,1060.1739501953125,1043.8695068359375,841.4347534179688,624.2174072265625,518.8261108398438,427.86956787109375,343.13043212890625,242.0869598388672,163.6086883544922,FHA_55_130215,5,43.113014221191406,-89.32054901123047,5,3U,fha,311199.4158898882,4775978.713429008,31990,8.98625839024213,class,40760
FHA_55_130604_5,161.3478240966797,111.52173614501953,73.3043441772461,84.82608795166016,194.47825622558594,478.65216064453125,1062.7391357421875,1604.6956787109375,1557.521728515625,1425.608642578125,1388.8260498046875,1507.1304931640625,1590.608642578125,1558.0869140625,1690.7391357421875,1873.1304931640625,1910.391357421875,1679.8695068359375,1267.3043212890625,1017.0,902.8261108398438,759.2608642578125,525.6521606445312,328.86956787109375,FHA_55_130604,5,43.055511474609375,-89.30908203125,5,3U,fha,311956.5127682341,4769566.906785834,42243,3.5294247566129107,class,31984
FHA_55_130604_1,156.21739196777344,105.0434799194336,89.91304016113281,120.21739196777344,240.52174377441406,609.2608642578125,975.1738891601562,1411.1304931640625,1399.6522216796875,1310.565185546875,1365.7825927734375,1419.7391357421875,1490.6956787109375,1569.8695068359375,1598.04345703125,1791.6522216796875,1978.3043212890625,1846.2608642578125,1327.7825927734375,996.7825927734375,850.7825927734375,701.6521606445312,510.3043518066406,293.39129638671875,FHA_55_130604,1,43.055511474609375,-89.30908203125,1,3U,fha,311956.5127682341,4769566.906785834,31984,3.5294247566129107,class,42243
FHA_55_131576_1,19.095237731933594,12.7619047164917,11.809523582458496,6.714285850524902,22.66666603088379,61.238094329833984,140.76190185546875,161.7142791748047,142.2857208251953,142.7142791748047,150.7142791748047,157.38095092773438,168.38095092773438,176.23809814453125,194.7142791748047,266.047607421875,309.0,231.90475463867188,147.8095245361328,99.14286041259766,85.38095092773438,59.57143020629883,44.14285659790039,28.85714340209961,FHA_55_131576,1,43.017765045166016,-89.2000961303711,1,4R,fha,320722.34188021754,4765136.420357559,44151,3.322679003256066,class,44152
FHA_55_131576_5,10.285714149475098,7.285714149475098,4.761904716491699,9.142857551574707,19.4761905670166,91.19047546386719,197.7142791748047,221.4761962890625,155.8095245361328,128.1904754638672,118.95237731933594,129.6666717529297,134.38095092773438,145.2857208251953,168.2857208251953,208.23809814453125,241.42857360839844,189.8095245361328,107.71428680419922,81.19047546386719,69.66666412353516,52.238094329833984,36.095237731933594,23.14285659790039,FHA_55_131576,5,43.017765045166016,-89.2000961303711,5,4R,fha,320722.34188021754,4765136.420357559,44152,3.322679003256066,class,44151
